id,registration,make,model,primaryColour,fuelType
49740526,BO55JBX,"LAND ROVER","R ROVER VELAR R-DYN SE D275 A",Black,Diesel
49789898,BO55TAH,BMW,X3,Blue,Diesel
49793630,BO55SUN,BENTLEY,BENTAYGA,Grey,Petrol
49794766,BO55YTM,"LAND ROVER","DISCOVERY HSE SD6 AUTO",Silver,Diesel
49826452,BO55BXY,VOLKSWAGEN,POLO,White,Petrol
49858020,BO55DDE,BMW,X3,White,Diesel
49865582,BO55XSK,BMW,X3,Black,Diesel
49870495,BO55RPB,"HARLEY DAVIDSON","",Red,Petrol
49947852,BO55GWF,PEUGEOT,BOXER,Black,Diesel
49996182,BO55MOO,"LAND ROVER","RANGE ROVER SPORT",Black,Petrol
